max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,profit,profit_per_request,profit_per_converted_rider,matched_pairs,BASE_PRICE,EMPTY_QUEUE_BUMP,MAX_CANDIDATES,BASE_MIN_SAVING_RATIO,BASE_MIN_ABSOLUTE_SAVING,LARGE_QUEUE_THRESHOLD,,Profit(value),value_flag
120,1,0.680845266,0.372667229,0.375721072,0.722962294,47.3109054,10301.75401,8823.422878,1478.331136,0.125409835,0.333784406,1601,0.7,0,8,0.1,0.28,6,,1478.331136,FALSE
15,1,0.686448252,0.362381293,0.365541228,0.301229984,11.5230912,10018.97413,9349.085946,669.89,0.056827976,0.155462563,649,0.7,0,8,0.1,0.28,8,,669.8881834,FALSE
60,1,0.68142908,0.371347651,0.373685103,0.59523269,31.18637911,10200.53386,8926.905896,1273.627962,0.108044449,0.289132341,1311,0.7,0,8,0.1,0.28,8,,1273.627962,FALSE
120,1,0.680715134,0.372811999,0.3760604,0.717798331,47.83081435,10311.66604,8832.509388,1479.156652,0.125479865,0.333669446,1591,0.7,0,8,0.1,0.28,8,,1479.156652,FALSE
15,1,0.68644944,0.362371213,0.365456396,0.300835655,11.52669452,10010.98334,9340.190309,670.7930351,0.056904737,0.15570869,648,0.7,0,8,0.1,0.35,6,,670.7930351,FALSE
60,1,0.681654564,0.370886636,0.373091279,0.598453843,30.98044566,10192.86424,8934.14713,1258.717106,0.106779531,0.286202161,1316,0.7,0,8,0.1,0.35,6,,1258.717106,FALSE
120,1,0.680680692,0.372965978,0.376399729,0.718503493,47.88505747,10313.41883,8832.250189,1481.168641,0.125650546,0.333822096,1594,0.7,0,8,0.1,0.35,6,,1481.168641,FALSE
15,1,0.686436546,0.36238638,0.365456396,0.299442897,11.54317549,10010.9011,9341.44226,669.4588447,0.056791555,0.155398989,645,0.7,0,8,0.1,0.35,8,,669.4588447,FALSE
60,1,0.681406515,0.371399881,0.373854768,0.594054913,31.24824143,10208.37373,8932.554759,1275.818968,0.108230316,0.289498291,1309,0.7,0,8,0.1,0.35,8,,1275.818968,FALSE
120,1,0.680624873,0.373049042,0.376569393,0.714124803,48.28452354,10320.37063,8837.033675,1483.336957,0.125834489,0.334160161,1585,0.7,0,8,0.1,0.35,8,,1483.336957,FALSE
15,1,0.686253648,0.362674443,0.366304717,0.278832793,11.7929597,10044.80299,9384.491039,660.3119534,0.056015605,0.152920786,602,0.7,0,8,0.12,0.22,6,,660.3119534,FALSE
60,1,0.681079063,0.372067873,0.374448592,0.584503851,31.86520163,10195.80443,8903.624178,1292.180253,0.109618277,0.292745866,1290,0.7,0,8,0.12,0.22,6,,1292.180253,FALSE
120,1,0.680223617,0.374039989,0.377163217,0.705353126,49.24134053,10337.34071,8805.489064,1531.851651,0.129950089,0.34454603,1568,0.7,0,8,0.12,0.22,6,,1531.851651,FALSE
15,1,0.686251272,0.362679082,0.366304717,0.277443261,11.80824456,10044.80299,9386.28402,658.5189722,0.055863503,0.152505552,599,0.7,0,8,0.12,0.22,8,,658.5189722,FALSE
60,1,0.680892603,0.372502083,0.37521208,0.577436129,32.23151707,10214.24959,8915.184001,1299.065586,0.110202374,0.293706893,1277,0.7,0,8,0.12,0.22,8,,1299.065586,FALSE
120,1,0.680071938,0.374491648,0.377163217,0.702654071,49.54768331,10348.28461,8812.491931,1535.792682,0.130284415,0.345432452,1562,0.7,0,8,0.12,0.22,8,,1535.792682,FALSE
15,1,0.686253648,0.362674443,0.366304717,0.278832793,11.7929597,10044.80299,9384.491039,660.3119534,0.056015605,0.152920786,602,0.7,0,8,0.12,0.28,6,,660.3119534,FALSE
60,1,0.681079063,0.372067873,0.374448592,0.584503851,31.86520163,10195.80443,8903.624178,1292.180253,0.109618277,0.292745866,1290,0.7,0,8,0.12,0.28,6,,1292.180253,FALSE
120,1,0.680223617,0.374039989,0.377163217,0.705353126,49.24134053,10337.34071,8805.489064,1531.851651,0.129950089,0.34454603,1568,0.7,0,8,0.12,0.28,6,,1531.851651,FALSE
15,1,0.686251272,0.362679082,0.366304717,0.277443261,11.80824456,10044.80299,9386.28402,658.5189722,0.055863503,0.152505552,599,0.7,0,8,0.12,0.28,8,,658.5189722,FALSE
60,1,0.680891076,0.372495369,0.37521208,0.576983948,32.25028261,10214.24959,8915.367072,1298.882515,0.110186844,0.293665502,1276,0.7,0,8,0.12,0.28,8,,1298.882515,FALSE
120,1,0.680056837,0.374476673,0.377417713,0.702180265,49.59474039,10356.19452,8820.219841,1535.974676,0.130299854,0.345240431,1562,0.7,0,8,0.12,0.28,8,,1535.974676,FALSE
15,1,0.686253308,0.362658697,0.366219885,0.277507528,11.80681028,10036.89252,9377.925292,658.9672286,0.055901529,0.152644714,599,0.7,0,8,0.12,0.35,6,,658.9672286,FALSE
60,1,0.681059552,0.372139365,0.374618256,0.582880435,31.92866848,10200.93038,8908.303086,1292.627298,0.109656201,0.292714515,1287,0.7,0,8,0.12,0.35,6,,1292.627298,FALSE
120,1,0.680138276,0.374243367,0.378011537,0.702872531,49.45713645,10371.51988,8833.922793,1537.597088,0.130437486,0.345062183,1566,0.7,0,8,0.12,0.35,6,,1537.597088,FALSE
15,1,0.686250933,0.362663336,0.366219885,0.276117674,11.82209868,10036.89252,9379.718273,657.1742474,0.055749427,0.152229383,596,0.7,0,8,0.12,0.35,8,,657.1742474,FALSE
60,1,0.680882253,0.372553537,0.375296912,0.575497288,32.3119349,10218.28908,8918.341954,1299.947128,0.110277157,0.293839767,1273,0.7,0,8,0.12,0.35,8,,1299.947128,FALSE
120,1,0.680008823,0.374583785,0.378096369,0.700022437,49.77069778,10384.85311,8844.829341,1540.023772,0.130643347,0.345529229,1560,0.7,0,8,0.12,0.35,8,,1540.023772,FALSE
15,1,0.686617917,0.361966493,0.365032236,0.327678364,11.21914943,9996.234211,9334.290025,661.94,0.056154071,0.153833183,705,0.7,0,10,0.08,0.22,6,,661.9441861,FALSE
60,1,0.682177469,0.369677952,0.371479471,0.623886732,29.72893355,10142.8304,8918.382535,1224.447863,0.103872401,0.279618146,1366,0.7,0,10,0.08,0.22,6,,1224.447863,FALSE
120,1,0.681548863,0.371424681,0.374448592,0.74218396,45.13525147,10268.00862,8828.01215,1439.996474,0.122157828,0.326233909,1638,0.7,0,10,0.08,0.22,6,,1439.996474,FALSE
15,1,0.686609264,0.361981509,0.365032236,0.32674878,11.22960725,9996.225406,9335.091906,661.1335006,0.056085299,0.153644783,703,0.7,0,10,0.08,0.22,8,,661.1335006,FALSE
60,1,0.682000679,0.370048897,0.372073295,0.61377109,30.22435021,10163.87619,8934.971283,1228.904904,0.104250501,0.280188077,1346,0.7,0,10,0.08,0.22,8,,1228.904904,FALSE
120,1,0.681486088,0.371560624,0.374957584,0.73800905,45.54049774,10275.3335,8834.965687,1440.367816,0.12218933,0.325875072,1631,0.7,0,10,0.08,0.22,8,,1440.367816,FALSE
15,1,0.686607567,0.361990991,0.365032236,0.324889612,11.24750174,9996.22136,9335.368455,660.852905,0.056061495,0.153579574,699,0.7,0,10,0.08,0.28,6,,660.852905,FALSE
60,1,0.682155582,0.369754595,0.371733967,0.621177545,29.89388407,10150.80524,8925.898249,1224.906988,0.10391135,0.27953149,1361,0.7,0,10,0.08,0.28,6,,1224.906988,FALSE
120,1,0.681521547,0.371379799,0.37436376,0.741445729,45.2533424,10263.309,8825.005971,1438.303027,0.122014169,0.325924094,1636,0.7,0,10,0.08,0.28,6,,1438.303027,FALSE
15,1,0.686598914,0.362006007,0.365032236,0.323960028,11.25795956,9996.212555,9336.170335,660.0422195,0.055992723,0.153391173,697,0.7,0,10,0.08,0.28,8,,660.0422195,FALSE
60,1,0.681953003,0.370141239,0.372242959,0.611668186,30.34366454,10166.71266,8934.758215,1231.954447,0.1045092,0.280755344,1342,0.7,0,10,0.08,0.28,8,,1231.954447,FALSE
120,1,0.681415338,0.37161882,0.374957584,0.736651584,45.78099548,10270.41457,8833.590852,1436.823713,0.121888676,0.325073238,1628,0.7,0,10,0.08,0.28,8,,1436.823713,FALSE
15,1,0.686590601,0.362008294,0.364862572,0.319460591,11.30969542,9984.99659,9327.367015,657.63,0.055788054,0.152901552,687,0.7,0,10,0.08,0.35,6,,657.6295752,FALSE
60,1,0.682051748,0.369957237,0.372242959,0.618505014,30.03919781,10162.28406,8927.126786,1235.157279,0.104780903,0.28148525,1357,0.7,0,10,0.08,0.35,6,,1235.157279,FALSE
120,1,0.681407194,0.371744802,0.37521208,0.735699751,45.83608411,10284.83269,8842.381429,1442.451264,0.122366073,0.326125088,1627,0.7,0,10,0.08,0.35,6,,1442.451264,FALSE
15,1,0.686576858,0.362034654,0.364862572,0.318065566,11.32387817,9984.938563,9328.386736,656.551827,0.055696626,0.152650971,684,0.7,0,10,0.08,0.35,8,,656.551827,FALSE
60,1,0.681859518,0.370354726,0.372582287,0.609744991,30.47449909,10174.91405,8936.758573,1238.155476,0.105035246,0.281911538,1339,0.7,0,10,0.08,0.35,8,,1238.155476,FALSE
120,1,0.681284187,0.371999875,0.375466576,0.732037958,46.20854044,10280.82954,8834.49982,1446.329724,0.12269509,0.326780326,1620,0.7,0,10,0.08,0.35,8,,1446.329724,FALSE
15,1,0.686462844,0.362362884,0.365541228,0.303086563,11.50174054,10019.05637,9347.655914,671.4004552,0.056956265,0.155813519,653,0.7,0,10,0.1,0.22,6,,671.4004552,FALSE
60,1,0.681736851,0.370723757,0.372836783,0.603412969,30.74721274,10184.91871,8930.42307,1254.495637,0.106421415,0.285437005,1326,0.7,0,10,0.1,0.22,6,,1254.495637,FALSE
120,1,0.680976586,0.372511312,0.376145232,0.727108705,46.89512855,10320.33828,8833.467435,1486.87084,0.126134276,0.335333974,1612,0.7,0,10,0.1,0.22,6,,1486.87084,FALSE
15,1,0.686449949,0.362378052,0.365541228,0.301694129,11.51821768,10018.97413,9348.907864,670.0662649,0.056843083,0.155503891,650,0.7,0,10,0.1,0.22,8,,670.0662649,FALSE
60,1,0.681450797,0.371321154,0.373685103,0.597502838,31.09625426,10200.97224,8926.799851,1274.172389,0.108090634,0.289255934,1316,0.7,0,10,0.1,0.22,8,,1274.172389,FALSE
120,1,0.680889379,0.372629627,0.3760604,0.72276111,47.30882021,10322.38268,8835.658628,1486.724054,0.126121823,0.335376507,1602,0.7,0,10,0.1,0.22,8,,1486.724054,FALSE
15,1,0.686461147,0.362366126,0.365541228,0.302622418,11.50661406,10019.05637,9347.833995,671.2223738,0.056941158,0.155772192,652,0.7,0,10,0.1,0.28,6,,671.2223738,FALSE
